Audio Input,Expected Command,Predicted Command,Match,Confidence
input_file/test_0_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9948
input_file/test_100_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9311
input_file/test_101_New_Word_Document.wav,New_Word_Document,Get_Me_Gmail,NO,0.6798
input_file/test_102_New_Word_Document.wav,New_Word_Document,Get_Me_Gmail,NO,0.483
input_file/test_103_Get_Me_Gmail.wav,Get_Me_Gmail,Open_Youtube_on_Brave,NO,0.8886
input_file/test_104_Get_Me_Gmail.wav,Get_Me_Gmail,Open_Youtube_on_Brave,NO,0.9897
input_file/test_105_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9601
input_file/test_106_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9939
input_file/test_107_Get_Me_Gmail.wav,Get_Me_Gmail,Open_Youtube_on_Brave,NO,0.827
input_file/test_108_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,New_Word_Document,NO,0.6416
input_file/test_109_Get_Me_Gmail.wav,Get_Me_Gmail,Get_Me_Gmail,YES,0.4647
input_file/test_10_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.97
input_file/test_110_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9344
input_file/test_111_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9879
input_file/test_112_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9861
input_file/test_113_Get_Me_Gmail.wav,Get_Me_Gmail,New_Word_Document,NO,0.554
input_file/test_114_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9563
input_file/test_115_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9679
input_file/test_116_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.8333
input_file/test_117_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9178
input_file/test_118_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.888
input_file/test_119_Get_Me_Gmail.wav,Get_Me_Gmail,Open_Youtube_on_Brave,NO,0.7864
input_file/test_11_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9484
input_file/test_120_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9938
input_file/test_121_New_Word_Document.wav,New_Word_Document,New_Word_Document,YES,0.8653
input_file/test_122_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9914
input_file/test_123_Get_Me_Gmail.wav,Get_Me_Gmail,New_Word_Document,NO,0.4645
input_file/test_124_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9889
input_file/test_125_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9753
input_file/test_126_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.994
input_file/test_127_Get_Me_Gmail.wav,Get_Me_Gmail,New_Word_Document,NO,0.9614
input_file/test_128_New_Word_Document.wav,New_Word_Document,New_Word_Document,YES,0.9738
input_file/test_129_Get_Me_Gmail.wav,Get_Me_Gmail,Open_Youtube_on_Brave,NO,0.8818
input_file/test_12_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Get_Me_Gmail,NO,0.3624
input_file/test_130_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,New_Word_Document,NO,0.8643
input_file/test_131_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9935
input_file/test_132_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9903
input_file/test_133_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9739
input_file/test_134_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.489
input_file/test_135_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.921
input_file/test_136_New_Word_Document.wav,New_Word_Document,New_Word_Document,YES,0.6975
input_file/test_137_Get_Me_Gmail.wav,Get_Me_Gmail,New_Word_Document,NO,0.8925
input_file/test_138_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9523
input_file/test_139_New_Word_Document.wav,New_Word_Document,New_Word_Document,YES,0.8331
input_file/test_13_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.9926
input_file/test_140_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,New_Word_Document,NO,0.615
input_file/test_141_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.799
input_file/test_142_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.8926
input_file/test_143_Get_Me_Gmail.wav,Get_Me_Gmail,Get_Me_Gmail,YES,0.8261
input_file/test_144_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.7336
input_file/test_145_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9929
input_file/test_146_Get_Me_Gmail.wav,Get_Me_Gmail,New_Word_Document,NO,0.8562
input_file/test_147_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,Open_Youtube_on_Brave,YES,0.967
input_file/test_148_Open_Youtube_On_Brave.wav,Open_Youtube_On_Brave,New_Word_Document,NO,0.7352
input_file/test_149_Get_Me_Gmail.wav,Get_Me_Gmail,Open_Youtube_on_Brave,NO,0.8645
input_file/test_14_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9906
input_file/test_150_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9772
input_file/test_151_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9775
input_file/test_152_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.9534
input_file/test_153_New_Word_Document.wav,New_Word_Document,New_Word_Document,YES,0.7861
input_file/test_154_New_Word_Document.wav,New_Word_Document,Open_Youtube_on_Brave,NO,0.8219
